?defined_class	?defined_class_label	?entity	?entity_label
<http://purl.obolibrary.org/obo/HP_0011400>	"Abnormal CNS myelination"	<http://purl.obolibrary.org/obo/GO_0022010>	"central nervous system myelination"
<http://purl.obolibrary.org/obo/HP_0011922>	"Abnormal activity of mitochondrial respiratory chain"	<http://purl.obolibrary.org/obo/GO_0005746>	"mitochondrial respiratory chain"
<http://purl.obolibrary.org/obo/HP_0003464>	"Abnormal cholesterol homeostasis"	<http://purl.obolibrary.org/obo/GO_0042632>	"cholesterol homeostasis"
<http://purl.obolibrary.org/obo/HP_0012875>	"Abnormal ejaculation"	<http://purl.obolibrary.org/obo/GO_0042713>	"sperm ejaculation"
<http://purl.obolibrary.org/obo/HP_0100851>	"Abnormal emotion/affect behavior"	<http://purl.obolibrary.org/obo/NBO_0000003>	"emotional behavior"
<http://purl.obolibrary.org/obo/HP_0100852>	"Abnormal fear/anxiety-related behavior"	<http://purl.obolibrary.org/obo/NBO_0000018>	"fear/anxiety related behavior"
<http://purl.obolibrary.org/obo/HP_0012359>	"Abnormal fucosylation of O-linked protein glycosylation"	<http://purl.obolibrary.org/obo/GO_0036066>	"protein O-linked fucosylation"
<http://purl.obolibrary.org/obo/HP_0012293>	"Abnormal genital pigmentation"	_:Bgenid58001	
<http://purl.obolibrary.org/obo/HP_0011014>	"Abnormal glucose homeostasis"	<http://purl.obolibrary.org/obo/GO_0042593>	"glucose homeostasis"
<http://purl.obolibrary.org/obo/HP_0012345>	"Abnormal glycosylation"	<http://purl.obolibrary.org/obo/GO_0070085>	"glycosylation"
<http://purl.obolibrary.org/obo/HP_0008034>	"Abnormal iris pigmentation"	_:Bgenid34914	
<http://purl.obolibrary.org/obo/HP_0007905>	"Abnormal iris vasculature"	<http://purl.obolibrary.org/obo/UBERON_0004118>	"vasculature of iris"
<http://purl.obolibrary.org/obo/HP_0002101>	"Abnormal lung lobation"	<http://purl.obolibrary.org/obo/GO_0060464>	"lung lobe formation"
<http://purl.obolibrary.org/obo/HP_0005089>	"Abnormal metaphyseal trabeculation"	_:Bgenid27924	
<http://purl.obolibrary.org/obo/HP_0011489>	"Abnormal migration of corneal endothelium"	_:Bgenid55246	
<http://purl.obolibrary.org/obo/HP_0008316>	"Abnormal mitochondria in muscle tissue"	_:Bgenid35683	
<http://purl.obolibrary.org/obo/HP_0012447>	"Abnormal myelination"	<http://purl.obolibrary.org/obo/GO_0042552>	"myelination"
<http://purl.obolibrary.org/obo/HP_0009106>	"Abnormal pelvis bone ossification"	_:Bgenid37916	
<http://purl.obolibrary.org/obo/HP_0003130>	"Abnormal peripheral myelination"	<http://purl.obolibrary.org/obo/GO_0022011>	"myelination in peripheral nervous system"
<http://purl.obolibrary.org/obo/HP_0100669>	"Abnormal pigmentation of the oral mucosa"	_:Bgenid68894	
